pnt_id,pnt_num,pnt_lat,pnt_lon,pnt_xrd,pnt_yrd,dates,hgt,pnt_prj_id
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,1979-01-01,83.51800000000001,212W01-HLI
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,1981-01-01,83.51800000000001,212W03
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,1982-03-30,83.558,212W04HHLI
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,1984-10-15,83.608,282W00-HLI
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,1991-10-06,83.671,324=00=NAP
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,2004-12-28,83.732,384=01
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,2012-05-13,83.764,384=14
060D0078,840,50.94321039216256,5.8958440360132665,190750,328290,2016-07-31,83.781,388=02
060D0079,841,50.942528519060474,5.887299841315516,190150,328210,1974-01-01,69.97699999999999,212W12-HLI
060D0079,841,50.942528519060474,5.887299841315516,190150,328210,1979-01-01,70.011,212W01-HLI
060D0079,841,50.942528519060474,5.887299841315516,190150,328210,1981-01-01,70.011,212W03
060D0079,841,50.942528519060474,5.887299841315516,190150,328210,1982-03-30,70.048,212W04HHLI
060D0079,841,50.942528519060474,5.887299841315516,190150,328210,1984-10-15,70.094,282W00-HLI
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,1974-01-01,99.334,212W12-HLI
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,1979-01-01,99.344,212W01-HLI
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,1984-10-15,99.365,282W00-HLI
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,1991-10-06,99.38,324=00=NAP
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,2004-12-28,99.383,384=01
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,2012-05-13,99.39,384=14
060D0080,842,50.97560069069028,5.909299733709844,191670,331900,2016-07-31,99.402,388=02
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,1974-01-01,104.358,212W12-HLI
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,1979-01-01,104.37500000000001,212W01-HLI
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,1984-10-15,104.403,282W00-HLI
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,1991-10-06,104.428,324=00=NAP
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,1997-03-23,104.441,371=00=NAP
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,2004-12-28,104.45,384=01
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,2012-05-13,104.458,384=14
060D0081,843,50.971450527529115,5.912669642071556,191910,331440,2016-07-31,104.472,388=02
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,1974-01-01,105.377,212W12-HLI
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,1979-01-01,105.391,212W01-HLI
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,1984-10-15,105.417,282W00-HLI
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,1991-10-06,105.435,324=00=NAP
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,2004-12-28,105.453,384=01
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,2012-05-13,105.461,384=14
060D0082,844,50.96618322962898,5.904638049069182,191350,330850,2016-07-31,105.475,388=02
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,1974-01-01,107.034,212W12-HLI
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,1979-01-01,107.046,212W01-HLI
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,1981-01-01,107.046,212W03
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,1984-10-15,107.071,282W00-HLI
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,1991-10-06,107.089,324=00=NAP
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,2004-12-28,107.105,384=01
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,2012-05-13,107.113,384=14
060D0083,845,50.96385954054216,5.901622796392739,191140,330590,2016-07-31,107.127,388=02
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1974-01-01,100.01150000000001,212W12-HLI
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1979-01-01,100.0155,212W01-HLI
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1984-10-15,100.02850000000001,282W00-HLI
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1991-10-06,100.046,324=00=NAP
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1997-03-23,100.055,371=00=NAP
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,1999-07-22,100.05850000000001,375W01
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2000-04-26,100.055,382=085
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2002-09-17,100.055,382=086
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2004-09-04,100.056,382=713
060D0084,846,50.972819332709214,5.887770176232404,190160,331580,2004-12-28,100.056,384=01
